id;name;performer;release_year;disk_count;medium;label;state;added
1;cross-platform Bedfordshire;schemas FTP;Fresh calculating leading edge;Infrastructure Awesome Granite Chair Fantastic;schemas Agent;Sierra Leone IB;OK;2020-09-28T00:40:03
2;embrace Kenyan Shilling;Movies;Practical Forward;Jersey transparent;Riel;Division client-driven compress;LOST;2020-09-28T07:12:07
3;payment;e-enable Terrace HDD;end-to-end;Auto Loan Account Keyboard;connecting Credit Card Account;Fields deposit Rustic Concrete Mouse;EXPECTED;2020-09-28T00:14:51
4;Missouri real-time;SSL Generic;Shirt Visionary Turnpike;Practical;Generic deploy;Auto Loan Account;LOST;2020-09-28T06:53:18
5;methodologies frictionless;Engineer Rubber Concrete;Bedfordshire capacitor;Planner;Technician Plastic COM;Jewelery Generic Concrete Computer local;UNDEFINED;2020-09-28T01:30:24
6;24/365 channels;Rubber Buckinghamshire;Consultant Sleek Frozen Tuna Reactive;Practical Granite Salad solid state;input application;Hat cyan programming;EXPECTED;2020-09-28T04:38:25
7;Savings Account Locks;Incredible drive;Health;Equatorial Guinea Algerian Dinar;Intelligent implementation transition;virtual;EXPECTED;2020-09-27T16:36:35
8;overriding dedicated;circuit;Incredible;Mission Kansas;Ranch;Sweden customized deposit;UNDEFINED;2020-09-27T19:43:26
9;Object-based;Sleek Cross-group;Cambridgeshire Orchestrator;Plastic application Object-based;microchip;Organized Grocery Fantastic;EXPECTED;2020-09-28T05:09:06
10;Car Fort;Cambridgeshire Egyptian Pound infrastructure;transmitting National CSS;RSS;Plastic;deposit;OK;2020-09-27T22:10:10
